ImageName,LicensePlateText
P1010002.jpg,32H247640
P1010004.jpg,DU748BH
P1010005.jpg,SGwD3164
P6040025.jpg,65715AK
P6040032.jpg,707539CH
P6040039.jpg,SK180BM
P6040050.jpg,ST329JH
P6040053.jpg,KAz451CC
P6040059.jpg,LNG619AA
P6040066.jpg,
P6040066.jpg,
P6040066.jpg,7G6839A1
P6040072.jpg,S14661BM
P6070005.jpg,ST1741C
P6070005.jpg,
P6070009.jpg,2668032
P6070027.jpg,j304E76
P6070038.jpg,ST569AD
P6070039.jpg,032A163
P6070046.jpg,DU190CE
P6070051.jpg,RT0205MC
P6070057.jpg,BEW742
P6070061.jpg,CK311BR
P6070063.jpg,VK750A1
P6070078.jpg,KK9734H
P9170015.jpg,164497P
P9170016.jpg,7G348CR
P9170016.jpg,
P9170021.jpg,
P9170021.jpg,262273EHR
P9170027.jpg,7G216TK
P9170036.jpg,
P9170036.jpg,
P9170036.jpg,2G4309AG
P9170048.jpg,76624K
P9170054.jpg,W785120
P9170054.jpg,
